text_id,symbol,Ja
100001,broadcast_1,来てくれてあざまるにゃ
100002,broadcast_1,今日もまったりいくにゃ
100003,broadcast_1,集合ありがとだにゃ
100004,broadcast_1,ピコピコ開始だにゃん
100005,broadcast_2,ちょいイラだにゃ…
100006,broadcast_2,空気ざわ…だにゃ
100007,broadcast_2,むむ、ノイズにゃ
100008,broadcast_2,深呼吸してくにゃ
100009,broadcast_3,きっっっ……なんでもないにゃ
100010,broadcast_3,盛り上がっててるにゃ……
100011,broadcast_3,いらいらがとまらな……にゃい
100012,broadcast_3,ちょっとだまるにゃ
100013,broadcast_4,もやもや……水のむにゃ
100014,broadcast_4,（バンッ！！）
100015,broadcast_4,間違えてきた人かにゃ？
100016,broadcast_4,誰か面白いこというにゃ
100017,broadcast_5,あーーーーあーーーー
100018,broadcast_5,帰れよ、もう
100019,broadcast_5,おまえらいいかげんにしろよ
100020,broadcast_5,黙れって、マジ
100021,HEAL_SMALL,今日もかわいい(小回復)
100022,HEAL_MEDIUM,チャンネル登録しました(中回復)
100023,HEAL_LARGE,友達にも布教します(大回復)
100024,SPEED_BOOST_ITEM,テクニックが冴えてる(SPD↑ 10s)
100025,KNOCKBACK_BOOST_ITEM,どんといこう(ノクバ↑ 10s)
100026,CHAT_TEXT_QUESTION_DOG,好きな犬種を教えて！
100027,CHAT_TEXT_888,88888888
100028,CHAT_TEXT_FIRST_VISIT,初見です
100029,CHAT_TEXT_LIKE,いいね！
100030,NAMECHAT_TEXT_QUESTION_DOG,好きな犬種を教えて！
100031,NAMECHAT_TEXT_888,88888888
100032,NAMECHAT_TEXT_FIRST_VISIT,初見です
100033,NAMECHAT_TEXT_LIKE,いいね！
100034,rand_comment,おじゃまします
100035,rand_comment,遅れた～
100036,rand_comment,通知来た！
100037,rand_comment,高評価ポチ！
100038,rand_comment,ただいま配信
100039,rand_comment,初見じゃないです
100040,rand_comment,初見詐欺です
100041,rand_comment,今日も可愛い
100042,rand_comment,音小さめ？
100043,rand_comment,音割れてるかも
100044,rand_comment,マイク近いかも
100045,rand_comment,BGMちょい大きい
100046,rand_comment,映像カクつき？
100047,rand_comment,ラグある？
100048,rand_comment,声と映像ズレてる
100049,rand_comment,画面暗いかも
100050,rand_comment,明るさ上げよ
100051,rand_comment,音量バランス良き
100052,rand_comment,聞き取りやすい！
100053,rand_comment,神回の予感
100054,rand_comment,今日も神
100055,rand_comment,ずっと見てられる
100056,rand_comment,沼だこれ
100057,rand_comment,集中タイム！
100058,rand_comment,手元最強
100059,rand_comment,うますぎ
100060,rand_comment,神避け！
100061,rand_comment,天才か？
100062,rand_comment,ナイス判断
100063,rand_comment,惜しい！
100064,rand_comment,ドンマイ！
100065,rand_comment,気持ち切り替えよ
100066,rand_comment,深呼吸してこ
100067,rand_comment,水分とって！
100068,rand_comment,姿勢のばそ
100069,rand_comment,猫背なおそ
100070,rand_comment,手首ケアして
100071,rand_comment,休憩は大事
100072,rand_comment,ご飯食べた？
100073,rand_comment,配信助かる
100074,rand_comment,アーカイブ残ります？
100075,rand_comment,切り抜き許可？
100076,rand_comment,今のクリップ案件
100077,rand_comment,メモっとこ
100078,rand_comment,この曲すき
100079,rand_comment,BPM上がってきた
100080,rand_comment,コメ流れ速いｗ
100081,rand_comment,ゆっくりめでOK
100082,rand_comment,コメ読み助かる
100083,rand_comment,読まれた！
100084,rand_comment,集合～！
100085,rand_comment,初見さんいらっしゃい
100086,rand_comment,メン限も待ってる
100087,rand_comment,メンバーギフト神
100088,rand_comment,スパチャ渋滞中
100089,rand_comment,スパチャ感謝！
100090,rand_comment,スポンサーきた！
100091,rand_comment,案件じゃないよね？
100092,rand_comment,今日の告知ある？
100093,rand_comment,コラボ誰と？
100094,rand_comment,耐久する？
100095,rand_comment,何時までやる？
100096,rand_comment,次枠いく？
100097,rand_comment,再起動する？
100098,rand_comment,画質720で十分
100099,rand_comment,1080でぬるぬる
100100,rand_comment,低遅延ありがてぇ
100101,rand_comment,遅延30秒くらい？
100102,rand_comment,コメント流すぎｗ
100103,rand_comment,ゆっくりでOKだよ
100104,rand_comment,手元配信助かる
100105,rand_comment,設定うまい
100106,rand_comment,キーコン何？
100107,rand_comment,感度いくつ？
100108,rand_comment,装備どれ？
100109,rand_comment,ビルド教えて
100110,rand_comment,リセあり？
100111,rand_comment,縛りプレイ？
100112,rand_comment,初見殺しきた
100113,rand_comment,ここ難所
100114,rand_comment,安全第一で
100115,rand_comment,引き際大事
100116,rand_comment,火力正義
100117,rand_comment,運も味方
100118,rand_comment,神引き！
100119,rand_comment,物欲センサー発動
100120,rand_comment,ドロ運いいね
100121,rand_comment,宝箱いこ！
100122,rand_comment,経験値拾お！
100123,rand_comment,回復ナイス
100124,rand_comment,バリア復活！
100125,rand_comment,ブースト管理うま
100126,rand_comment,グレイズ気持ちよ
100127,rand_comment,ボスきた！
100128,rand_comment,フェーズ移行！
100129,rand_comment,ラスト押し切れ！
100130,rand_comment,GG！
100131,rand_comment,ナイファイ！
100132,rand_comment,今日はこの辺で？
100133,rand_comment,おつおつ～
100134,rand_comment,配信感謝！
100135,rand_comment,また来るね
100136,rand_comment,明日も楽しみ
100137,rand_comment,解散～！
100138,ENEMY_SEND_1,敵を送り込み1
100139,ENEMY_SEND_2,敵を送り込み2
100140,ENEMY_SEND_3,敵を送り込み3
